id,title,subtitle,category,subcategory,cover,rating,pages,language,price,is_premium,is_new,is_trending,description
1,Complete Guide to Hajj,A comprehensive guide to complete guide to hajj,Islamic,Hajj & Umrah,/covers/cover_001.jpg,3.6,107,english,400,false,true,true,"Discover the depth and beauty of Complete Guide to Hajj. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
2,Umrah Step by Step,A comprehensive guide to umrah step by step,Islamic,Hajj & Umrah,/covers/cover_002.jpg,3.7,114,bilingual,500,false,true,true,"Discover the depth and beauty of Umrah Step by Step. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
3,Hajj Essentials,A comprehensive guide to hajj essentials,Islamic,Hajj & Umrah,/covers/cover_003.jpg,3.8,121,urdu,400,false,true,true,"Discover the depth and beauty of Hajj Essentials. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
4,Ziyarat of Makkah,A comprehensive guide to ziyarat of makkah,Islamic,Hajj & Umrah,/covers/cover_004.jpg,3.9,128,english,500,false,true,true,"Discover the depth and beauty of Ziyarat of Makkah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
5,Ziyarat of Madinah,A comprehensive guide to ziyarat of madinah,Islamic,Hajj & Umrah,/covers/cover_005.jpg,4.0,135,bilingual,500,true,true,true,"Discover the depth and beauty of Ziyarat of Madinah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
6,Rites of Hajj Explained,A comprehensive guide to rites of hajj explained,Islamic,Hajj & Umrah,/covers/cover_006.jpg,4.1,142,urdu,400,false,true,true,"Discover the depth and beauty of Rites of Hajj Explained. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
7,Preparing for Umrah,A comprehensive guide to preparing for umrah,Islamic,Hajj & Umrah,/covers/cover_007.jpg,4.2,149,english,700,false,true,true,"Discover the depth and beauty of Preparing for Umrah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
8,Hajj Duas Collection,A comprehensive guide to hajj duas collection,Islamic,Hajj & Umrah,/covers/cover_008.jpg,4.3,156,bilingual,550,false,true,true,"Discover the depth and beauty of Hajj Duas Collection. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
9,Sacred Journey,A comprehensive guide to sacred journey,Islamic,Hajj & Umrah,/covers/cover_009.jpg,4.4,163,urdu,700,false,true,true,"Discover the depth and beauty of Sacred Journey. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
10,Pilgrim's Companion,A comprehensive guide to pilgrim's companion,Islamic,Hajj & Umrah,/covers/cover_010.jpg,4.5,170,english,600,true,true,true,"Discover the depth and beauty of Pilgrim's Companion. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
11,Tafsir of Surah Fatiha,A comprehensive guide to tafsir of surah fatiha,Islamic,Quran & Hadith,/covers/cover_011.jpg,4.6,177,bilingual,550,false,true,true,"Discover the depth and beauty of Tafsir of Surah Fatiha. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
12,Tafsir of Surah Yaseen,A comprehensive guide to tafsir of surah yaseen,Islamic,Quran & Hadith,/covers/cover_012.jpg,4.7,184,urdu,450,false,true,true,"Discover the depth and beauty of Tafsir of Surah Yaseen. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
13,Tafsir of Surah Mulk,A comprehensive guide to tafsir of surah mulk,Islamic,Quran & Hadith,/covers/cover_013.jpg,4.8,191,english,300,false,true,true,"Discover the depth and beauty of Tafsir of Surah Mulk. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
14,Forty Hadith of Imam Nawawi,A comprehensive guide to forty hadith of imam nawawi,Islamic,Quran & Hadith,/covers/cover_014.jpg,4.9,198,bilingual,500,false,true,true,"Discover the depth and beauty of Forty Hadith of Imam Nawawi. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
15,Sahih Bukhari Selections,A comprehensive guide to sahih bukhari selections,Islamic,Quran & Hadith,/covers/cover_015.jpg,5.0,205,urdu,700,true,true,true,"Discover the depth and beauty of Sahih Bukhari Selections. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
16,Riyad us Saliheen,A comprehensive guide to riyad us saliheen,Islamic,Quran & Hadith,/covers/cover_016.jpg,5.1,212,english,600,false,true,true,"Discover the depth and beauty of Riyad us Saliheen. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
17,Stories from the Quran,A comprehensive guide to stories from the quran,Islamic,Quran & Hadith,/covers/cover_017.jpg,3.5,219,bilingual,350,false,true,true,"Discover the depth and beauty of Stories from the Quran. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
18,Quran Reflections,A comprehensive guide to quran reflections,Islamic,Quran & Hadith,/covers/cover_018.jpg,3.6,226,urdu,550,false,true,true,"Discover the depth and beauty of Quran Reflections. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
19,Hadith Commentary,A comprehensive guide to hadith commentary,Islamic,Quran & Hadith,/covers/cover_019.jpg,3.7,233,english,300,false,true,true,"Discover the depth and beauty of Hadith Commentary. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
20,Essence of Quran,A comprehensive guide to essence of quran,Islamic,Quran & Hadith,/covers/cover_020.jpg,3.8,240,bilingual,700,true,true,true,"Discover the depth and beauty of Essence of Quran. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
21,The Life of Prophet Muhammad,A comprehensive guide to the life of prophet muhammad,Islamic,Seerah,/covers/cover_021.jpg,3.9,247,urdu,450,false,true,true,"Discover the depth and beauty of The Life of Prophet Muhammad. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
22,Ar-Raheeq Al-Makhtum,A comprehensive guide to ar-raheeq al-makhtum,Islamic,Seerah,/covers/cover_022.jpg,4.0,254,english,450,false,true,false,"Discover the depth and beauty of Ar-Raheeq Al-Makhtum. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
23,Seerah for Youth,A comprehensive guide to seerah for youth,Islamic,Seerah,/covers/cover_023.jpg,4.1,261,bilingual,400,false,true,false,"Discover the depth and beauty of Seerah for Youth. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
24,Lessons from Seerah,A comprehensive guide to lessons from seerah,Islamic,Seerah,/covers/cover_024.jpg,4.2,268,urdu,700,false,true,false,"Discover the depth and beauty of Lessons from Seerah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
25,Prophet's Character,A comprehensive guide to prophet's character,Islamic,Seerah,/covers/cover_025.jpg,4.3,275,english,650,true,true,true,"Discover the depth and beauty of Prophet's Character. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
26,Madinah Period,A comprehensive guide to madinah period,Islamic,Seerah,/covers/cover_026.jpg,4.4,282,bilingual,450,false,true,false,"Discover the depth and beauty of Madinah Period. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
27,Makkah Period,A comprehensive guide to makkah period,Islamic,Seerah,/covers/cover_027.jpg,4.5,289,urdu,600,false,true,false,"Discover the depth and beauty of Makkah Period. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
28,Seerah in Modern Context,A comprehensive guide to seerah in modern context,Islamic,Seerah,/covers/cover_028.jpg,4.6,296,english,450,false,true,true,"Discover the depth and beauty of Seerah in Modern Context. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
29,Women in Seerah,A comprehensive guide to women in seerah,Islamic,Seerah,/covers/cover_029.jpg,4.7,303,bilingual,750,false,true,false,"Discover the depth and beauty of Women in Seerah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
30,Battles of the Prophet,A comprehensive guide to battles of the prophet,Islamic,Seerah,/covers/cover_030.jpg,4.8,310,urdu,350,true,true,false,"Discover the depth and beauty of Battles of the Prophet. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
31,Foundations of Faith,A comprehensive guide to foundations of faith,Islamic,Aqeedah,/covers/cover_031.jpg,4.9,317,english,800,false,true,true,"Discover the depth and beauty of Foundations of Faith. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
32,Six Pillars of Iman,A comprehensive guide to six pillars of iman,Islamic,Aqeedah,/covers/cover_032.jpg,5.0,324,bilingual,450,false,true,false,"Discover the depth and beauty of Six Pillars of Iman. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
33,Islamic Creed Explained,A comprehensive guide to islamic creed explained,Islamic,Aqeedah,/covers/cover_033.jpg,5.1,331,urdu,700,false,true,true,"Discover the depth and beauty of Islamic Creed Explained. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
34,Tawheed Fundamentals,A comprehensive guide to tawheed fundamentals,Islamic,Aqeedah,/covers/cover_034.jpg,3.5,338,english,400,false,true,false,"Discover the depth and beauty of Tawheed Fundamentals. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
35,Aqeedah for Beginners,A comprehensive guide to aqeedah for beginners,Islamic,Aqeedah,/covers/cover_035.jpg,3.6,345,bilingual,550,true,true,true,"Discover the depth and beauty of Aqeedah for Beginners. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
36,Beliefs of Ahlus Sunnah,A comprehensive guide to beliefs of ahlus sunnah,Islamic,Aqeedah,/covers/cover_036.jpg,3.7,352,urdu,500,false,true,true,"Discover the depth and beauty of Beliefs of Ahlus Sunnah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
